"Site","Province","Year","anonymized_id","Camp","Season","Terrain","GrassQuality","Inherited","InheritedLine","InheritedFrom"
"A","Bai-Taiga",2015,38,"A","Fall","Mountain",1,1,"Female","FemalesParents"
"A","Bai-Taiga",2015,38,"B","Summer","Mountain",2,1,"Female","FemalesParents"
"A","Bai-Taiga",2015,38,"C","Winter","Mountain",1,1,"Female","FemalesParents"
"A","Bai-Taiga",2015,39,"A","Summer","Steppe",1,1,"Male","MalesFathersFather"
"A","Bai-Taiga",2015,39,"C","Summer","Mountain",NA,NA,NA,"missing"
"A","Bai-Taiga",2015,39,"D","Winter","River",1,NA,NA,"missing"
"A","Bai-Taiga",2015,39,"E","Fall","Steppe",1,NA,NA,"missing"
"A","Bai-Taiga",2015,50,"A","Summer","River",1,1,"Male","MalesMothersParents"
"A","Bai-Taiga",2015,50,"C","Fall","Steppe",2,NA,NA,"missing"
"A","Bai-Taiga",2015,50,"D","Summer","River",NA,NA,NA,"missing"
"A","Bai-Taiga",2015,50,"E","Winter","Steppe",2,NA,NA,"missing"
"A","Bai-Taiga",2015,59,"A","Summer","Steppe",1,1,"Male","MalesParents"
"A","Bai-Taiga",2015,59,"C","Winter","River",1,1,"Male","MalesParents"
"A","Bai-Taiga",2015,74,"C","Winter","Mountain",1,1,"Male","MalesFather"
"A","Bai-Taiga",2015,231,"A","Summer","Steppe",1,1,"Male","MalesFather"
"A","Bai-Taiga",2015,231,"C","Winter","River",1,1,"Male","MalesFather"
"A","Bai-Taiga",2015,330,"A","Summer","River",1,1,"Male","MalesGrandparents"
"A","Bai-Taiga",2015,330,"C","Winter","River",NA,1,"Male","MalesGrandparents"
"A","Bai-Taiga",2015,330,"D","Fall","River",NA,1,"Male","MalesGrandparents"
"A","Bai-Taiga",2015,432,"A","Winter","Steppe",0,1,"Female","FemalesGrandparents"
"A","Bai-Taiga",2015,432,"B","Summer","Mountain",0,1,"Female","FemalesGrandparents"
"A","Bai-Taiga",2015,438,"A","Summer","Mountain",1,1,"Female","FemalesMother"
"A","Bai-Taiga",2015,438,"C","Winter","Steppe",1,1,"Female","FemalesMother"
"A","Bai-Taiga",2015,732,"B","Summer","Mountain",1,1,"Male","MalesFathersFather"
"A","Bai-Taiga",2015,865,"A","Fall","River",0,1,"Male","MalesGrandparents"
"A","Bai-Taiga",2015,865,"B","Summer","River",0,1,"Male","MalesGrandparents"
"A","Bai-Taiga",2015,865,"E","Winter","River",NA,1,"Male","MalesGrandparents"
"A","Bai-Taiga",2015,865,"F","Summer","Mountain",NA,1,"Male","MalesGrandparents"
"A","Bai-Taiga",2015,933,"A","Fall","Steppe",0,NA,NA,"missing"
"A","Bai-Taiga",2015,933,"C","Summer","Mountain",NA,NA,NA,"missing"
"A","Bai-Taiga",2015,933,"D","Winter","Mountain",1,NA,NA,"missing"
"A","Bai-Taiga",2015,998,"A","Summer","Steppe",1,NA,NA,"missing"
"A","Bai-Taiga",2015,998,"C","Winter","Steppe",1,1,"Male","MalesFather"
"B","Barun-Khemchik",2015,54,"A","Summer","Steppe",1,1,"Male","MalesFather"
"B","Barun-Khemchik",2015,54,"C","Winter","Steppe",1,0,"Established","Established"
"B","Barun-Khemchik",2015,107,"A","Summer","Steppe",1,1,"Female","FemalesMother"
"B","Barun-Khemchik",2015,107,"C","Fall","River",1,1,"Female","FemalesMother"
"B","Barun-Khemchik",2015,107,"D","Winter","Mountain",1,1,"Female","FemalesMother"
"B","Barun-Khemchik",2015,126,"C","Winter","Steppe",1,0,"New","New"
"B","Barun-Khemchik",2015,225,"A","Summer","Steppe",1,0,"Established","Established"
"B","Barun-Khemchik",2015,225,"C","Fall","River",1,0,"Established","Established"
"B","Barun-Khemchik",2015,225,"D","Winter","Mountain",-1,0,"Established","Established"
"B","Barun-Khemchik",2015,262,"A","Summer","Steppe",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,262,"C","Fall","River",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,262,"D","Winter","Mountain",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,262,"E","Spring","River",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,406,"A","Summer","Steppe",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,406,"C","Fall","Steppe",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,406,"D","Winter","Mountain",1,1,"Male","MalesFather"
"B","Barun-Khemchik",2015,406,"E","Spring","Mountain",-1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,419,"A","Summer","Steppe",-1,0,"Established","Established"
"B","Barun-Khemchik",2015,419,"C","Winter","Steppe",-1,0,"Established","Established"
"B","Barun-Khemchik",2015,566,"A","Summer","Steppe",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,566,"C","Winter","River",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,601,"A","Summer","Steppe",1,1,"Male","MalesMothersFather"
"B","Barun-Khemchik",2015,601,"C","Winter","Steppe",NA,0,"Established","Established"
"B","Barun-Khemchik",2015,648,"A","Summer","Steppe",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,648,"C","Fall","Steppe",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,648,"D","Winter","Mountain",1,1,"Male","MalesFather"
"B","Barun-Khemchik",2015,648,"E","Spring","Steppe",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,649,"A","Summer","Steppe",1,1,"Male","MalesRelatives"
"B","Barun-Khemchik",2015,649,"C","Winter","River",1,1,"Male","MalesRelatives"
"B","Barun-Khemchik",2015,719,"A","Summer","Steppe",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,719,"C","Winter","Mountain",NA,0,"Established","Established"
"B","Barun-Khemchik",2015,735,"A","Summer","Steppe",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,735,"B","Summer","Mountain",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,735,"C","Fall","Steppe",-1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,735,"D","Spring","Mountain",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,735,"E","Winter","Mountain",1,1,"Male","MalesParents"
"B","Barun-Khemchik",2015,842,"A","Summer","Mountain",1,0,"Established","Established"
