Site,Province,Year,anonymized_id,N,Ages,Bodo,SSU,Cattle,Horses,SmallStock,Yaks,Camels,MaterialWealth,MeanCampInheritance,Wages,Education,HayBought
A,Bai-Taiga,2015,38,2,45,60,457,27,2,310,0,0,72700,1,312.1,12.5,0
A,Bai-Taiga,2015,39,4,79,40.7,291,16,9,157,0,0,15000,1,249.3,13,NA
A,Bai-Taiga,2015,50,8,80,171.7,1237,38,70,617,2,0,90390,1,271.2,13,0
A,Bai-Taiga,2015,59,5,56,33,180,18,15,0,0,0,48550,1,NA,12,0
A,Bai-Taiga,2015,74,3,40,6,30,6,0,0,0,0,40000,1,178.2,11,0
A,Bai-Taiga,2015,231,6,70,20.4,140,12,1,74,0,0,80065,1,271.2,14,0
A,Bai-Taiga,2015,330,4,50,71.3,596,21,3,473,0,0,30350,1,249.3,15,0
A,Bai-Taiga,2015,432,6,52,125.8,986,44,13,688,0,0,105415,1,312.1,13,0
A,Bai-Taiga,2015,438,5,52,37.3,278,19,0,183,0,0,95050,1,265,12,0
A,Bai-Taiga,2015,732,4,53,11.3,73,8,0,33,0,0,18500,1,312.1,14,0
A,Bai-Taiga,2015,865,6,38,29.4,203.5,16.5,2,109,0,0,25200,1,195.2,12,0
A,Bai-Taiga,2015,933,2,64,21.4,155,11,1,94,0,0,55265,NA,265,12,0
A,Bai-Taiga,2015,998,7,58,41.1,282,25,1,151,0,0,70115,1,286.3,20,0
B,Barun-Khemchik,2015,54,5,70,45.7,268,37,1,77,0,0,70390,0.5,279.2,16,0
B,Barun-Khemchik,2015,107,5,56,308.2,2100,62,168,782,0,0,70265,1,332.8,16,20000
B,Barun-Khemchik,2015,126,4,64,59,404,30,9,200,0,0,20240,0,NA,11,12000
B,Barun-Khemchik,2015,225,6,70,150.5,1217,40,22,885,0,0,95200,0,265,11,0
B,Barun-Khemchik,2015,262,6,68,44.3,313,26,0,183,0,0,30200,1,249.3,17,0
B,Barun-Khemchik,2015,406,8,65,106.3,685,42,42,223,0,0,100265,1,265,15,0
B,Barun-Khemchik,2015,419,3,74,107.1,891,36,0,711,0,0,85415,0,NA,10,16000
B,Barun-Khemchik,2015,566,7,43,30.7,182,25,0,57,0,0,100115,1,312.1,14,0
B,Barun-Khemchik,2015,601,7,36,25.3,232,1,4,203,0,0,40115,0.5,195.2,9,24000
B,Barun-Khemchik,2015,648,3,42,57.8,338,32,20,58,0,0,43740,1,NA,10,0
B,Barun-Khemchik,2015,649,3,38,57.1,332,47,1,91,0,0,40240,1,265,9,4000
B,Barun-Khemchik,2015,719,11,69,24.5,191,10,1,135,0,0,90240,0.5,279.2,10,0
B,Barun-Khemchik,2015,735,2,58,86.8,501,31,53,28,0,0,30000,1,NA,4,0
B,Barun-Khemchik,2015,842,4,55,42,386,6,1,350,0,0,30200,0,271.2,16,0
B,Barun-Khemchik,2015,888,9,48,32.8,269,11,1,208,0,0,85390,1,265,15,0
C,Barun-Khemchik,2013,19,3,38,221.7,1218,12,6,207,183,0,NA,NA,NA,NA,NA
C,Barun-Khemchik,2013,142,2,70,4,20,4,0,0,0,0,NA,1,NA,NA,NA
C,Barun-Khemchik,2013,228,6,83,71.1,482,41,6,241,0,0,NA,1,NA,NA,NA
C,Barun-Khemchik,2013,235,5,73,359,2146,101,6,690,183,0,NA,1,NA,NA,NA
C,Barun-Khemchik,2013,343,5,50,44.6,372,6,11,276,0,0,NA,1,NA,NA,NA
C,Barun-Khemchik,2013,490,2,49,103.7,922,23,0,807,0,0,NA,0.5,NA,NA,NA
C,Barun-Khemchik,2013,753,7,38,93.4,689,37,15,414,0,0,NA,1,NA,NA,NA
C,Barun-Khemchik,2013,782,5,29,2.8,28,0,0,28,0,0,NA,0.666666667,NA,NA,NA
C,Barun-Khemchik,2013,819,7,45,82,522,50,12,200,0,0,NA,0.666666667,NA,NA,NA
C,Barun-Khemchik,2013,966,11,47,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
D,Khovsgol,2016,5,5,37,56,303,3,3,40,46,0,45150,1,0,10,0
D,Khovsgol,2016,6,4,25,50,310,30,10,100,0,0,15200,1,0,10,0
D,Khovsgol,2016,7,4,29,52,310,0,15,70,30,0,30390,0.75,332.8,12,0
D,Khovsgol,2016,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,Khovsgol,2016,37,2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,Khovsgol,2016,49,2,25,7,45,5,0,20,0,0,15200,1,0,6,0
D,Khovsgol,2016,77,9,60,9,60,3,0,30,3,0,15265,1,0,7,0
D,Khovsgol,2016,80,4,39,9,75,2,0,60,1,0,55240,0.75,0,10,0
D,Khovsgol,2016,94,6,38,58,320,4,10,40,40,0,60200,1,0,10,0
D,Khovsgol,2016,95,3,31,9,86,0,1,80,0,0,15240,1,0,11,0
D,Khovsgol,2016,110,6,55,40,255,7,20,70,6,0,15240,0,280.2,10,0
D,Khovsgol,2016,115,3,24,30,206,11,6,100,3,0,15240,NA,178.2,14,0
D,Khovsgol,2016,163,3,62,27,176,13,1,80,5,0,15200,1,NA,NA,0
D,Khovsgol,2016,187,2,67,44,301,23,6,150,0,0,200,1,0,7,0
D,Khovsgol,2016,239,4,51,38,244,4,4,100,20,0,15265,1,0,10,0
D,Khovsgol,2016,278,4,36,76.6,523,10,17,246,25,0,45240,0.5,0,8,0
D,Khovsgol,2016,279,3,49,3,22,0,2,10,0,0,15150,0.666666667,0,5,0
D,Khovsgol,2016,319,1,58,15,92,0,2,30,10,0,200,1,265,4,6000
D,Khovsgol,2016,322,5,49,20,138,0,3,70,10,0,30240,0.75,0,8,0
D,Khovsgol,2016,332,7,44,66,400,36,20,100,0,0,45430,1,271.2,13,0
D,Khovsgol,2016,357,9,40,24,161,5,6,70,6,0,15050,1,279.2,12,0
D,Khovsgol,2016,403,3,27,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
D,Khovsgol,2016,416,4,25,43,336,5,1,240,13,0,30240,0.5,0,9,0
D,Khovsgol,2016,431,3,40,20,128,2,3,50,10,0,22700,0.75,0,7,0
D,Khovsgol,2016,460,2,58,NA,NA,NA,NA,NA,NA,NA,15220,NA,279.2,8,0
D,Khovsgol,2016,464,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
D,Khovsgol,2016,477,3,47,28,191,17,1,100,0,0,30200,1,0,10,0
D,Khovsgol,2016,494,13,53,41,315,5,10,200,6,0,30240,1,0,10,0
D,Khovsgol,2016,506,1,78,6,55,1,0,50,0,0,15040,0.8,0,0,0
D,Khovsgol,2016,564,4,33,90,570,30,20,200,20,0,15240,1,0,5,0
D,Khovsgol,2016,572,6,58,86,501,20,10,200,10,13,15200,1,227.5,10,0
D,Khovsgol,2016,574,5,33,26.2,152,4,10,22,10,0,30200,1,0,5,0
D,Khovsgol,2016,584,2,31,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,NA
D,Khovsgol,2016,599,6,75,86,520,0,10,160,60,0,15240,1,0,4,0
D,Khovsgol,2016,600,5,42,68,398,0,8,100,50,0,45240,0,0,10,0
D,Khovsgol,2016,623,5,42,66,436,10,6,200,30,0,40240,0,0,8,0
D,Khovsgol,2016,638,7,49,28,205,11,5,120,0,0,45240,1,279.2,15,0
D,Khovsgol,2016,642,4,41,66,436,0,6,200,40,0,26515,1,0,8,0
D,Khovsgol,2016,677,6,49,37,246,20,6,110,0,0,15240,0,249.3,13,0
D,Khovsgol,2016,687,3,50,14,96,4,6,40,0,0,15200,0.75,0,10,0
D,Khovsgol,2016,707,5,71,72,449,38,14,150,5,0,30375,1,0,12,0
D,Khovsgol,2016,724,3,30,57,365,3,10,140,30,0,15240,1,279.2,13,0
D,Khovsgol,2016,731,7,42,52,320,2,10,100,30,0,40240,0,0,10,5000
D,Khovsgol,2016,736,7,27,18,140,4,0,100,4,0,15200,0.5,0,8,0
D,Khovsgol,2016,771,3,58,15,96,0,1,40,10,0,15200,0.75,0,7,NA
D,Khovsgol,2016,778,4,51,67,435,7,25,150,20,0,15200,1,0,7,0
