"Site","Province","Year","F1_anonymized_id","F1_Ages","F1_Bodo","F2_anonymized_id","F2_Ages","F2_Bodo"
"C","Barun-Khemchik",2013,142,70,4,782,29,2.8
"C","Barun-Khemchik",2013,235,73,359,19,38,221.7
"C","Barun-Khemchik",2013,235,73,359,819,45,82
"D","Khovsgol",2016,77,60,9,954,42,21
"D","Khovsgol",2016,163,62,27,416,25,43
"D","Khovsgol",2016,163,62,27,871,40,40
"D","Khovsgol",2016,187,67,44,5,37,56
"D","Khovsgol",2016,187,67,44,6,25,50
"D","Khovsgol",2016,187,67,44,638,49,28
"D","Khovsgol",2016,357,40,24,574,33,26.2
"D","Khovsgol",2016,506,78,6,239,51,38
"D","Khovsgol",2016,572,58,86,564,33,90
"D","Khovsgol",2016,599,75,86,5,37,56
"D","Khovsgol",2016,599,75,86,7,29,52
"D","Khovsgol",2016,599,75,86,94,38,58
"D","Khovsgol",2016,599,75,86,600,42,68
"D","Khovsgol",2016,778,51,67,278,36,76.6
"D","Khovsgol",2016,778,51,67,477,47,28
"D","Khovsgol",2016,778,51,67,564,33,90
"D","Khovsgol",2016,778,51,67,642,41,66
"D","Khovsgol",2016,936,57,1,115,24,30
